timestamp,message_id,data_bytes,speed,ground_truth
2026-04-04 09:00:00.035958,0x102,2EF403E846004002,120.2,normal
2026-04-04 09:00:00.079983,0x201,312109C00C015202,125.77,normal
2026-04-04 09:00:00.099815,0x300,20B2083C53015202,83.7,normal
2026-04-04 09:00:00.113904,0x200,03FD0E7853005B03,10.21,normal
2026-04-04 09:00:00.149228,0x101,351608D35A016205,135.9,normal
2026-04-04 09:00:00.162013,0x102,02650A340F015E07,6.13,normal
2026-04-04 09:00:00.196804,0x301,108C0F1D25005307,42.36,normal
2026-04-04 09:00:00.209383,0x100,1A03073F16015D07,66.6,normal
2026-04-04 09:00:00.231869,0x201,2BC404101F016509,112.04,normal
2026-04-04 09:00:00.269059,0x102,0FC406024401420B,40.37,normal
2026-04-04 09:00:00.282055,0x100,2B090D6743005F0A,110.17,normal
2026-04-04 09:00:00.318285,0x102,1F1A033E0E00410D,79.62,normal
2026-04-04 09:00:00.350021,0x102,1EE903D14D015B0E,79.13,normal
2026-04-04 09:00:00.377164,0x200,12FF0AF90300510D,48.63,normal
2026-04-04 09:00:00.390747,0x102,2EAC033517013E10,119.48,normal
2026-04-04 09:00:00.407003,0x101,2433047538016310,92.67,normal
2026-04-04 09:00:00.438575,0x102,2C84072010003D12,113.96,normal
2026-04-04 09:00:00.447177,0x201,1CDE0C8910015512,73.9,normal
2026-04-04 09:00:00.458270,0x200,1BE3050126004B12,71.39,normal
2026-04-04 09:00:00.488481,0x101,04CB076B0B006C14,12.27,normal
2026-04-04 09:00:00.529824,0x200,109E0D2E61006214,42.54,normal
2026-04-04 09:00:00.563500,0x102,0EE303D109006917,38.11,normal
2026-04-04 09:00:00.586731,0x101,10BB0DCA3A014417,42.83,normal
2026-04-04 09:00:00.625995,0x201,2CF70BCD2B005B18,115.11,normal
2026-04-04 09:00:00.654359,0x200,05470D1729013E18,13.51,normal
2026-04-04 09:00:00.679119,0x101,07E70BFF0A00591A,20.23,normal
2026-04-04 09:00:00.690943,0x300,1D8208D82301591A,75.54,normal
2026-04-04 09:00:00.696855,0x301,187E091E4F00401C,62.7,normal
2026-04-04 09:00:00.721321,0x102,334A04EF3901531E,131.3,normal
2026-04-04 09:00:00.737000,0x101,1C790E5A2C003D1E,72.89,normal
2026-04-04 09:00:00.775052,0x300,071F06DD3700411E,18.23,normal
2026-04-04 09:00:00.806941,0x101,24100CB849016220,92.32,normal
2026-04-04 09:00:00.816251,0x300,0BB105F703005720,29.93,normal
2026-04-04 09:00:00.836088,0x201,32840FE720006B22,129.32,normal
2026-04-04 09:00:00.852725,0x102,0E0010495E004424,35.84,normal
2026-04-04 09:00:00.859521,0x102,364504CE5A006125,138.93,normal
2026-04-04 09:00:00.900153,0x300,1A5909271F006224,67.45,normal
2026-04-04 09:00:00.931619,0x101,052B0CCE4B004926,13.23,normal
2026-04-04 09:00:00.974092,0x101,06B703A853014327,17.19,normal
2026-04-04 09:00:00.986263,0x200,36A9035813004B27,139.93,normal
2026-04-04 09:00:01.022359,0x301,196D08A90E013C29,65.1,normal
2026-04-04 09:00:01.036545,0x100,250F0FFC0C005529,94.87,normal
2026-04-04 09:00:01.069315,0x200,0C7C0E8D51005F2A,31.96,normal
2026-04-04 09:00:01.103875,0x100,06C40A7D5D004F2B,17.33,normal
2026-04-04 09:00:01.120913,0x102,2440070660014A2E,92.8,normal
2026-04-04 09:00:01.162905,0x100,1E5D04C24001412D,77.73,normal
2026-04-04 09:00:01.173519,0x102,34D705003C006A30,135.27,normal
2026-04-04 09:00:01.210693,0x102,2AEB0E5001014131,109.87,normal
2026-04-04 09:00:01.248870,0x201,0E8A074D35015A31,37.22,normal
2026-04-04 09:00:01.288580,0x200,19C9045C25015131,66.01,normal
2026-04-04 09:00:01.319657,0x300,170D09FE19004732,59.01,normal
2026-04-04 09:00:01.354498,0x201,06940EC906005934,16.84,normal
2026-04-04 09:00:01.365345,0x201,13650F5B0E016A35,49.65,normal
2026-04-04 09:00:01.376966,0x101,086708F60B013D36,21.51,normal
2026-04-04 09:00:01.384182,0x100,02EB089A3B015E36,7.47,normal
2026-04-04 09:00:01.404927,0x101,1B970CCC58016638,70.63,normal
2026-04-04 09:00:01.411666,0x100,0CF205DA19015838,33.14,normal
2026-04-04 09:00:01.433316,0x100,146F0F6434014139,52.31,normal
2026-04-04 09:00:01.471655,0x100,32930C280A01663A,129.48,normal
2026-04-04 09:00:01.512761,0x301,28BA0AA74E015C3C,104.26,normal
2026-04-04 09:00:01.548921,0x100,1D5107263301663C,75.05,normal
2026-04-04 09:00:01.572433,0x102,22FA06261A00423F,89.54,normal
2026-04-04 09:00:01.596548,0x102,0CB8075B25014E40,32.56,normal
2026-04-04 09:00:01.614648,0x101,258005F41D016B40,96.0,normal
2026-04-04 09:00:01.656302,0x102,11F5090736016642,45.97,normal
2026-04-04 09:00:01.687405,0x201,214C0D353F004A42,85.24,normal
2026-04-04 09:00:01.721801,0x101,25FF099D56014243,97.27,normal
2026-04-04 09:00:01.751376,0x100,27B00AAC08016A43,101.6,normal
2026-04-04 09:00:01.761872,0x301,28AB084B3B006345,104.11,normal
2026-04-04 09:00:01.798677,0x300,0CDE0C9A3B004045,32.94,normal
2026-04-04 09:00:01.828323,0x100,1EE502D739005346,79.09,normal
2026-04-04 09:00:01.854229,0x201,31F409CF31005948,127.88,normal
2026-04-04 09:00:01.896478,0x100,06670C9808005C48,16.39,normal
2026-04-04 09:00:01.918223,0x201,29F40CB82101684A,107.4,normal
2026-04-04 09:00:01.953724,0x101,13EB0A021F00434B,50.99,normal
2026-04-04 09:00:01.964635,0x300,163D0CD12600604B,56.93,normal
2026-04-04 09:00:01.991755,0x300,27A00B1C30004E4C,101.44,normal
2026-04-04 09:00:02.036220,0x201,3B7308870B00664E,152.19,normal
2026-04-04 09:00:02.066703,0x100,202C032D45013C4E,82.36,normal
2026-04-04 09:00:02.089876,0x201,12760FF92E005250,47.26,normal
2026-04-04 09:00:02.106953,0x300,27AD0A2F0B006D50,101.57,normal
2026-04-04 09:00:02.147121,0x101,2DC503530A016D52,117.17,normal
2026-04-04 09:00:02.178748,0x200,05A70C0A5A013D52,14.47,normal
2026-04-04 09:00:02.193381,0x100,2A7B0DC914006953,108.75,normal
2026-04-04 09:00:02.224632,0x100,004C04DF05015A54,0.76,normal
2026-04-04 09:00:02.261691,0x101,2E74061505016456,118.92,normal
2026-04-04 09:00:02.303803,0x201,2BA20DF154003E57,111.7,normal
2026-04-04 09:00:02.316875,0x100,1B970A1D4B015B57,70.63,normal
2026-04-04 09:00:02.355920,0x100,282D037513004958,102.85,normal
2026-04-04 09:00:02.389316,0x301,1F0E09B205005A5A,79.5,normal
2026-04-04 09:00:02.396010,0x300,2409085C1100405A,92.25,normal
2026-04-04 09:00:02.408351,0x301,17490A284F005B5C,59.61,normal
2026-04-04 09:00:02.436248,0x100,33BC0A221E00585C,132.44,normal
2026-04-04 09:00:02.469239,0x200,3ACA04E40E00555D,150.5,normal
2026-04-04 09:00:02.490400,0x102,0685100A0D014960,16.69,normal
2026-04-04 09:00:02.507588,0x102,216A083640015061,85.54,normal
2026-04-04 09:00:02.528940,0x101,202C0AF520013D61,82.36,normal
2026-04-04 09:00:02.550676,0x102,0C56040939005863,31.58,normal
2026-04-04 09:00:02.583756,0x200,28C70B2A1F006362,104.39,normal
2026-04-04 09:00:02.610722,0x102,223C09EE24015565,87.64,normal
2026-04-04 09:00:02.645190,0x300,2EC60E5B32015664,119.74,normal
2026-04-04 09:00:02.682185,0x101,2DCB07FB31004166,117.23,normal
2026-04-04 09:00:02.690067,0x201,037903CB1C014C67,8.89,normal
2026-04-04 09:00:02.701987,0x101,289E0F1301006568,103.98,normal
2026-04-04 09:00:02.741249,0x101,086706013C014169,21.51,normal
2026-04-04 09:00:02.760846,0x301,328D08E14D004B6A,129.41,normal
2026-04-04 09:00:02.793352,0x201,183D0F6340003C6B,62.05,normal
2026-04-04 09:00:02.806714,0x102,08F50C761000656D,22.93,normal
2026-04-04 09:00:02.851280,0x200,34710DB16401436C,134.25,normal
2026-04-04 09:00:02.874210,0x102,04610E284C00516F,11.21,normal
2026-04-04 09:00:02.897983,0x100,09E506125B013E6E,25.33,normal
2026-04-04 09:00:02.912297,0x101,1ACF10583B015470,68.63,normal
2026-04-04 09:00:02.920661,0x101,2E220E6940015C71,118.1,normal
2026-04-04 09:00:02.952469,0x201,03A20CA525015672,9.3,normal
2026-04-04 09:00:02.971008,0x201,1E2809FF4D016673,77.21,normal
2026-04-04 09:00:02.996199,0x300,1DD1046055004D73,76.33,normal
2026-04-04 09:00:03.021152,0x102,05BE030828016976,14.7,normal
2026-04-04 09:00:03.051385,0x100,1288070F13003D75,47.44,normal
2026-04-04 09:00:03.093484,0x102,10D104AE3C013C78,43.05,normal
2026-04-04 09:00:03.109605,0x201,279C0C7D63015B78,101.4,normal
2026-04-04 09:00:03.133705,0x201,387509C648006C79,144.53,normal
2026-04-04 09:00:03.169985,0x300,05CB09AA49015279,14.83,normal
2026-04-04 09:00:03.197109,0x200,3C9C043363004A7A,155.17,normal
2026-04-04 09:00:03.231459,0x201,15A802CC0C003E7C,55.44,normal
2026-04-04 09:00:03.267553,0x102,35E50E7D2E006C7E,137.98,normal
2026-04-04 09:00:03.289016,0x201,054D05C43801647E,13.57,normal
2026-04-04 09:00:03.331004,0x201,0250037C25013E7F,5.92,normal
2026-04-04 09:00:03.340376,0x200,2C940BB74E00677F,114.12,normal
2026-04-04 09:00:03.374953,0x201,030F0F2517005B81,7.83,normal
2026-04-04 09:00:03.414278,0x100,1C25065444013D81,72.05,normal
2026-04-04 09:00:03.435332,0x300,221B063718006682,87.31,normal
2026-04-04 09:00:03.454253,0x300,0F2E0C6F3B004F83,38.86,normal
2026-04-04 09:00:03.470246,0x300,09870C0508014D84,24.39,normal
2026-04-04 09:00:03.503952,0x201,3E6C0B751D015086,159.8,normal
2026-04-04 09:00:03.514425,0x200,3E590E6E46015986,159.61,normal
2026-04-04 09:00:03.535119,0x300,193B07700D004E87,64.6,normal
2026-04-04 09:00:03.542806,0x101,00F706DC2D015B89,2.47,normal
2026-04-04 09:00:03.561538,0x102,34750FE44B01578B,134.29,normal
2026-04-04 09:00:03.577919,0x300,0BF00A652001698A,30.56,normal
2026-04-04 09:00:03.604101,0x201,24EC0B3541004A8C,94.52,normal
2026-04-04 09:00:03.618756,0x101,0880077A58004A8D,21.76,normal
2026-04-04 09:00:03.646216,0x201,30FD0B6A2C01538E,125.41,normal
2026-04-04 09:00:03.691004,0x200,32EA0BEA5B00638E,130.34,normal
2026-04-04 09:00:03.703411,0x200,065E089341006B8F,16.3,normal
2026-04-04 09:00:03.728920,0x102,01F50F8F60014192,5.02,normal
2026-04-04 09:00:03.735563,0x101,039510322D005592,9.17,normal
2026-04-04 09:00:03.753066,0x100,061A0B6C26013F92,15.62,normal
2026-04-04 09:00:03.785994,0x101,1085097027005094,42.29,normal
2026-04-04 09:00:03.791060,0x100,2F2F04F400005594,120.79,normal
2026-04-04 09:00:03.815640,0x101,17970A454E006696,60.39,normal
2026-04-04 09:00:03.831054,0x101,0D430F3B30015E97,33.95,normal
2026-04-04 09:00:03.845184,0x101,32E1095504005398,130.25,normal
2026-04-04 09:00:03.878647,0x100,029707180D006998,6.63,normal
2026-04-04 09:00:03.884017,0x100,01B604D50B015B99,4.38,normal
2026-04-04 09:00:03.898682,0x200,24E30C2255003C9A,94.43,normal
2026-04-04 09:00:03.937817,0x200,0A2C0EFE4E01669B,26.04,normal
2026-04-04 09:00:03.952988,0x300,17140FF83C016D9C,59.08,normal
2026-04-04 09:00:03.972449,0x201,13E60A3A50005A9E,50.94,normal
2026-04-04 09:00:03.986103,0x102,115F0DFD07013DA0,44.47,normal
2026-04-04 09:00:04.004963,0x100,090D0BBF49015F9F,23.17,normal
2026-04-04 09:00:04.039506,0x101,30AC04C13B0042A1,124.6,normal
2026-04-04 09:00:04.050255,0x200,0ACF0D9833006DA1,27.67,normal
2026-04-04 09:00:04.055415,0x100,364F0AA23B0042A2,139.03,normal
2026-04-04 09:00:04.096307,0x300,1B3A04FE3E0049A3,69.71,normal
2026-04-04 09:00:04.103328,0x200,126C076E430165A4,47.16,normal
2026-04-04 09:00:04.109054,0x200,0E740E51580148A5,37.0,normal
2026-04-04 09:00:04.138485,0x200,18C30D02440160A6,63.39,normal
2026-04-04 09:00:04.166163,0x201,3D7704C82A0155A8,157.35,normal
2026-04-04 09:00:04.171661,0x201,20840896290140A9,83.24,normal
2026-04-04 09:00:04.212248,0x102,255409240F006CAB,95.56,normal
2026-04-04 09:00:04.224385,0x100,2EFA102E5C0046AA,120.26,normal
2026-04-04 09:00:04.248177,0x201,36E60B90260055AC,140.54,normal
2026-04-04 09:00:04.282846,0x201,30EF0FB8390041AD,125.27,normal
2026-04-04 09:00:04.324005,0x300,2887099C0A0046AD,103.75,normal
2026-04-04 09:00:04.358749,0x100,358D103E26015FAE,137.09,normal
2026-04-04 09:00:04.399252,0x102,1174077E3D0159B1,44.68,normal
2026-04-04 09:00:04.420617,0x200,3A7609A02F0045B0,149.66,normal
2026-04-04 09:00:04.440706,0x102,072C074610005EB3,18.36,normal
2026-04-04 09:00:04.459285,0x301,0C5F0571090061B3,31.67,normal
2026-04-04 09:00:04.499526,0x101,0B0D1012120056B4,28.29,normal
2026-04-04 09:00:04.523263,0x101,027802DA30006BB5,6.32,normal
2026-04-04 09:00:04.554364,0x102,060E05EF19004AB7,15.5,normal
2026-04-04 09:00:04.589956,0x300,2DC9042C63016DB6,117.21,normal
